,date,code,open,high,low,close,volume,amount
0,2016/6/1,sh.600519,265.4,265.5,263,263.79,2187669,578184016
1,2016/6/2,sh.600519,263.01,268.68,263.01,267.74,2476076,660335568
2,2016/6/3,sh.600519,267,286.74,266.4,283.89,6479813,1806172752
3,2016/6/6,sh.600519,282,283,275,276.05,3726166,1034692864
4,2016/6/7,sh.600519,276.5,278.49,275.01,277.85,1875353,518246016
5,2016/6/8,sh.600519,276.4,277.86,273.5,274.28,2388209,656530784
6,2016/6/13,sh.600519,273.35,276.66,266.25,267.06,3777506,1030012784
7,2016/6/14,sh.600519,267.71,273.8,267.71,272.75,2558729,696446752
8,2016/6/15,sh.600519,270.71,277.8,270.21,276.49,2732201,752172240
9,2016/6/16,sh.600519,274.86,277.8,273.78,274.02,1964357,540824576
10,2016/6/17,sh.600519,273.6,282.49,273.6,278.26,2470518,689165056
11,2016/6/20,sh.600519,279.77,279.86,274,276.11,1901926,523759584
12,2016/6/21,sh.600519,277.04,277.94,273,273.81,1674933,460067360
13,2016/6/22,sh.600519,273.77,279.36,272.77,278.44,2088448,577353680
14,2016/6/23,sh.600519,279.97,279.97,274.88,276.44,1398451,386801280
15,2016/6/24,sh.600519,275.28,277,267.2,273.77,2012951,550877440
16,2016/6/27,sh.600519,275,292.3,275,287.68,6364269,1823624048
17,2016/6/28,sh.600519,287.02,289.66,286.32,288.21,2428223,699351504
18,2016/6/29,sh.600519,287.55,289.45,284.2,288.18,2814760,805690464
19,2016/6/30,sh.600519,290.02,298.2,290.02,291.92,3802240,1116195904
20,2016/7/1,sh.600519,287.2,291.88,284,286.17,2601495,746622848
21,2016/7/4,sh.600519,287,295.4,286,293.9,2948864,859625104
22,2016/7/5,sh.600519,295.03,303.1,295.03,300.58,4170773,1252985744
23,2016/7/6,sh.600519,299.8,318,299.01,317.19,4734770,1463885920
24,2016/7/7,sh.600519,315.8,326.8,312.08,316.91,5072520,1619384208
25,2016/7/8,sh.600519,313.53,315.5,306.16,309.91,4554563,1412963904
26,2016/7/11,sh.600519,309.03,324,309.03,315.14,5748167,1825388224
27,2016/7/12,sh.600519,315.76,326.6,315,324.73,5311945,1712151168
28,2016/7/13,sh.600519,323.03,324.73,315.05,317.19,5344828,1697002624
29,2016/7/14,sh.600519,316.09,320.8,315.2,317.09,2923085,928017840
30,2016/7/15,sh.600519,317.12,318.03,315.06,317.52,2681101,848676192
31,2016/7/18,sh.600519,317.5,319.5,315.66,316.21,2335289,741065232
32,2016/7/19,sh.600519,315.5,316.3,305.55,308.11,4143166,1282256496
33,2016/7/20,sh.600519,308.62,310.87,307.5,308.56,1773384,548187888
34,2016/7/21,sh.600519,310.15,317.6,309,314.38,3300949,1041004816
35,2016/7/22,sh.600519,312.9,315.2,307.38,307.92,2887145,893047920
36,2016/7/25,sh.600519,307.6,314.19,307,311.26,2362353,736751808
37,2016/7/26,sh.600519,309.01,319.5,308.5,319.04,3555567,1121135552
38,2016/7/27,sh.600519,319.85,320.6,308.3,314.01,3922806,1235833184
39,2016/7/28,sh.600519,312,319.3,311.5,316.05,3964399,1254912048
40,2016/7/29,sh.600519,315.08,318.88,313,313.15,2900737,913987184
41,2016/8/1,sh.600519,313,313.95,305,306.96,3170185,980681840
42,2016/8/2,sh.600519,307.25,310.5,302.85,306.21,2654142,812078464
43,2016/8/3,sh.600519,307,307.9,304.15,306.82,2403907,735080448
44,2016/8/4,sh.600519,306.85,308.33,304.22,306.3,2179364,666165440
45,2016/8/5,sh.600519,306.49,308.37,305.03,305.93,2030848,622324416
46,2016/8/8,sh.600519,306.15,308.3,303.06,308.1,2200740,672724160
47,2016/8/9,sh.600519,308.17,317.67,306.42,315.75,3928967,1230571984
48,2016/8/10,sh.600519,315.05,316.5,313.33,313.81,2094471,659451040
49,2016/8/11,sh.600519,314.38,321.57,314.01,316.77,3193972,1016399248
50,2016/8/12,sh.600519,317.4,317.4,314.01,316.97,2335283,737487488
51,2016/8/15,sh.600519,315.8,321.69,314.15,318.78,3411013,1084418384
52,2016/8/16,sh.600519,322,322.48,308,309.52,8837869,2755749504
53,2016/8/17,sh.600519,309.6,310.97,306.5,308.16,4375406,1347397792
54,2016/8/18,sh.600519,307.95,309.65,305.13,306.43,3100599,951674784
55,2016/8/19,sh.600519,305.8,307.45,304.8,306.48,1914091,585467696
56,2016/8/22,sh.600519,306.13,309.58,306,307.32,2081270,640455200
57,2016/8/23,sh.600519,307.33,309.04,305.8,306.88,1991426,612752800
58,2016/8/24,sh.600519,307.02,307.49,303.83,305.28,2277942,695005296
59,2016/8/25,sh.600519,305.2,305.38,300.07,303.01,2536258,766099104
60,2016/8/26,sh.600519,303.14,304.55,300.4,301.45,2143645,648346752
61,2016/8/29,sh.600519,308,308.8,305.2,307.53,3805557,1169052448
62,2016/8/30,sh.600519,307,308.5,304.67,305.86,2117052,649198656
63,2016/8/31,sh.600519,306.7,310.76,305.54,310.19,4040144,1250762224
64,2016/9/1,sh.600519,309.7,312,308.25,308.71,1718597,532785264
65,2016/9/2,sh.600519,308,309.45,304.88,305.78,1857224,570909568
66,2016/9/5,sh.600519,306.2,309,305.81,308.5,1913870,589626256
67,2016/9/6,sh.600519,308.5,310.36,308.35,309.94,2062583,638681584
68,2016/9/7,sh.600519,309.68,309.68,305.5,306.6,2964515,908976240
69,2016/9/8,sh.600519,305.21,306.5,304.41,305.82,1670578,509979664
70,2016/9/9,sh.600519,306.65,306.86,304,304.63,1622251,494663728
71,2016/9/12,sh.600519,302,304,297.77,298.06,3823881,1148690128
72,2016/9/13,sh.600519,299.95,300.97,299.3,300.43,1625588,488095088
73,2016/9/14,sh.600519,300.1,302.2,298.01,299.57,1852765,556106064
74,2016/9/19,sh.600519,300.05,301.57,299.88,300.13,1285210,385804384
75,2016/9/20,sh.600519,300.78,300.8,294,294.96,3489260,1031649952
76,2016/9/21,sh.600519,295.06,295.39,289.11,294.05,3903723,1139374176
77,2016/9/22,sh.600519,294.3,299.98,294.01,296.98,2960617,879666032
78,2016/9/23,sh.600519,297.02,298.95,295.4,297.68,1267190,376554080
79,2016/9/26,sh.600519,297,297.01,288.55,288.73,3717608,1080278320
80,2016/9/27,sh.600519,288.88,291.98,288.76,291.17,1791582,520513712
81,2016/9/28,sh.600519,291.79,291.79,287.56,288.41,2236001,648736320
82,2016/9/29,sh.600519,287.85,293,287.85,290.98,2370569,688873472
83,2016/9/30,sh.600519,290,299.63,290,297.91,2960350,880477808
84,2016/10/10,sh.600519,298.51,303.86,298.51,302.96,2110362,637178864
85,2016/10/11,sh.600519,304,309,303,308.92,4173675,1279755344
86,2016/10/12,sh.600519,308.5,308.5,304.9,305.82,1928602,590793824
87,2016/10/13,sh.600519,306.8,306.94,303.51,303.89,1614398,491591616
88,2016/10/14,sh.600519,303.47,306,303.2,305.6,1269092,386317904
