date,code,open,high,low,close,volume,amount
2016-06-01,sh.600519,265.4000,265.5000,263.0000,263.7900,2187669,578184016.0000
2016-06-02,sh.600519,263.0100,268.6800,263.0100,267.7400,2476076,660335568.0000
2016-06-03,sh.600519,267.0000,286.7400,266.4000,283.8900,6479813,1806172752.0000
2016-06-06,sh.600519,282.0000,283.0000,275.0000,276.0500,3726166,1034692864.0000
2016-06-07,sh.600519,276.5000,278.4900,275.0100,277.8500,1875353,518246016.0000
2016-06-08,sh.600519,276.4000,277.8600,273.5000,274.2800,2388209,656530784.0000
2016-06-13,sh.600519,273.3500,276.6600,266.2500,267.0600,3777506,1030012784.0000
2016-06-14,sh.600519,267.7100,273.8000,267.7100,272.7500,2558729,696446752.0000
2016-06-15,sh.600519,270.7100,277.8000,270.2100,276.4900,2732201,752172240.0000
2016-06-16,sh.600519,274.8600,277.8000,273.7800,274.0200,1964357,540824576.0000
2016-06-17,sh.600519,273.6000,282.4900,273.6000,278.2600,2470518,689165056.0000
2016-06-20,sh.600519,279.7700,279.8600,274.0000,276.1100,1901926,523759584.0000
2016-06-21,sh.600519,277.0400,277.9400,273.0000,273.8100,1674933,460067360.0000
2016-06-22,sh.600519,273.7700,279.3600,272.7700,278.4400,2088448,577353680.0000
2016-06-23,sh.600519,279.9700,279.9700,274.8800,276.4400,1398451,386801280.0000
2016-06-24,sh.600519,275.2800,277.0000,267.2000,273.7700,2012951,550877440.0000
2016-06-27,sh.600519,275.0000,292.3000,275.0000,287.6800,6364269,1823624048.0000
2016-06-28,sh.600519,287.0200,289.6600,286.3200,288.2100,2428223,699351504.0000
2016-06-29,sh.600519,287.5500,289.4500,284.2000,288.1800,2814760,805690464.0000
2016-06-30,sh.600519,290.0200,298.2000,290.0200,291.9200,3802240,1116195904.0000
2016-07-01,sh.600519,287.2000,291.8800,284.0000,286.1700,2601495,746622848.0000
2016-07-04,sh.600519,287.0000,295.4000,286.0000,293.9000,2948864,859625104.0000
2016-07-05,sh.600519,295.0300,303.1000,295.0300,300.5800,4170773,1252985744.0000
2016-07-06,sh.600519,299.8000,318.0000,299.0100,317.1900,4734770,1463885920.0000
2016-07-07,sh.600519,315.8000,326.8000,312.0800,316.9100,5072520,1619384208.0000
2016-07-08,sh.600519,313.5300,315.5000,306.1600,309.9100,4554563,1412963904.0000
2016-07-11,sh.600519,309.0300,324.0000,309.0300,315.1400,5748167,1825388224.0000
2016-07-12,sh.600519,315.7600,326.6000,315.0000,324.7300,5311945,1712151168.0000
2016-07-13,sh.600519,323.0300,324.7300,315.0500,317.1900,5344828,1697002624.0000
2016-07-14,sh.600519,316.0900,320.8000,315.2000,317.0900,2923085,928017840.0000
2016-07-15,sh.600519,317.1200,318.0300,315.0600,317.5200,2681101,848676192.0000
2016-07-18,sh.600519,317.5000,319.5000,315.6600,316.2100,2335289,741065232.0000
2016-07-19,sh.600519,315.5000,316.3000,305.5500,308.1100,4143166,1282256496.0000
2016-07-20,sh.600519,308.6200,310.8700,307.5000,308.5600,1773384,548187888.0000
2016-07-21,sh.600519,310.1500,317.6000,309.0000,314.3800,3300949,1041004816.0000
2016-07-22,sh.600519,312.9000,315.2000,307.3800,307.9200,2887145,893047920.0000
2016-07-25,sh.600519,307.6000,314.1900,307.0000,311.2600,2362353,736751808.0000
2016-07-26,sh.600519,309.0100,319.5000,308.5000,319.0400,3555567,1121135552.0000
2016-07-27,sh.600519,319.8500,320.6000,308.3000,314.0100,3922806,1235833184.0000
2016-07-28,sh.600519,312.0000,319.3000,311.5000,316.0500,3964399,1254912048.0000
2016-07-29,sh.600519,315.0800,318.8800,313.0000,313.1500,2900737,913987184.0000
2016-08-01,sh.600519,313.0000,313.9500,305.0000,306.9600,3170185,980681840.0000
2016-08-02,sh.600519,307.2500,310.5000,302.8500,306.2100,2654142,812078464.0000
2016-08-03,sh.600519,307.0000,307.9000,304.1500,306.8200,2403907,735080448.0000
2016-08-04,sh.600519,306.8500,308.3300,304.2200,306.3000,2179364,666165440.0000
2016-08-05,sh.600519,306.4900,308.3700,305.0300,305.9300,2030848,622324416.0000
2016-08-08,sh.600519,306.1500,308.3000,303.0600,308.1000,2200740,672724160.0000
2016-08-09,sh.600519,308.1700,317.6700,306.4200,315.7500,3928967,1230571984.0000
2016-08-10,sh.600519,315.0500,316.5000,313.3300,313.8100,2094471,659451040.0000
2016-08-11,sh.600519,314.3800,321.5700,314.0100,316.7700,3193972,1016399248.0000
2016-08-12,sh.600519,317.4000,317.4000,314.0100,316.9700,2335283,737487488.0000
2016-08-15,sh.600519,315.8000,321.6900,314.1500,318.7800,3411013,1084418384.0000
2016-08-16,sh.600519,322.0000,322.4800,308.0000,309.5200,8837869,2755749504.0000
2016-08-17,sh.600519,309.6000,310.9700,306.5000,308.1600,4375406,1347397792.0000
2016-08-18,sh.600519,307.9500,309.6500,305.1300,306.4300,3100599,951674784.0000
2016-08-19,sh.600519,305.8000,307.4500,304.8000,306.4800,1914091,585467696.0000
2016-08-22,sh.600519,306.1300,309.5800,306.0000,307.3200,2081270,640455200.0000
2016-08-23,sh.600519,307.3300,309.0400,305.8000,306.8800,1991426,612752800.0000
2016-08-24,sh.600519,307.0200,307.4900,303.8300,305.2800,2277942,695005296.0000
2016-08-25,sh.600519,305.2000,305.3800,300.0700,303.0100,2536258,766099104.0000
2016-08-26,sh.600519,303.1400,304.5500,300.4000,301.4500,2143645,648346752.0000
2016-08-29,sh.600519,308.0000,308.8000,305.2000,307.5300,3805557,1169052448.0000
2016-08-30,sh.600519,307.0000,308.5000,304.6700,305.8600,2117052,649198656.0000
2016-08-31,sh.600519,306.7000,310.7600,305.5400,310.1900,4040144,1250762224.0000
2016-09-01,sh.600519,309.7000,312.0000,308.2500,308.7100,1718597,532785264.0000
2016-09-02,sh.600519,308.0000,309.4500,304.8800,305.7800,1857224,570909568.0000
2016-09-05,sh.600519,306.2000,309.0000,305.8100,308.5000,1913870,589626256.0000
2016-09-06,sh.600519,308.5000,310.3600,308.3500,309.9400,2062583,638681584.0000
2016-09-07,sh.600519,309.6800,309.6800,305.5000,306.6000,2964515,908976240.0000
2016-09-08,sh.600519,305.2100,306.5000,304.4100,305.8200,1670578,509979664.0000
2016-09-09,sh.600519,306.6500,306.8600,304.0000,304.6300,1622251,494663728.0000
2016-09-12,sh.600519,302.0000,304.0000,297.7700,298.0600,3823881,1148690128.0000
2016-09-13,sh.600519,299.9500,300.9700,299.3000,300.4300,1625588,488095088.0000
2016-09-14,sh.600519,300.1000,302.2000,298.0100,299.5700,1852765,556106064.0000
2016-09-19,sh.600519,300.0500,301.5700,299.8800,300.1300,1285210,385804384.0000
2016-09-20,sh.600519,300.7800,300.8000,294.0000,294.9600,3489260,1031649952.0000
2016-09-21,sh.600519,295.0600,295.3900,289.1100,294.0500,3903723,1139374176.0000
2016-09-22,sh.600519,294.3000,299.9800,294.0100,296.9800,2960617,879666032.0000
2016-09-23,sh.600519,297.0200,298.9500,295.4000,297.6800,1267190,376554080.0000
2016-09-26,sh.600519,297.0000,297.0100,288.5500,288.7300,3717608,1080278320.0000
2016-09-27,sh.600519,288.8800,291.9800,288.7600,291.1700,1791582,520513712.0000
2016-09-28,sh.600519,291.7900,291.7900,287.5600,288.4100,2236001,648736320.0000
2016-09-29,sh.600519,287.8500,293.0000,287.8500,290.9800,2370569,688873472.0000
